PersonId;Type;Abbr;LoyaltyId
1;Basic;KE;889215424
1;Elite+;DT;484697244
2;Basic;SU;658121632
2;Elite+;DT;356246372
2;Basic;KE;388423193
3;Elite;SU;224950608
4;Elite+;FB;436692325
5;Basic;SU;525500144
5;Elite+;KE;629925275
5;Elite+;DT;479114128
5;Basic;FB;629903943
6;Basic;DT;980250352
6;Basic;SU;510085965
6;Elite;FB;650748133
6;Elite+;KE;885948676
7;Elite;KE;172720439
8;Basic;SU;727305399
9;Elite+;KE;377935438
10;Basic;KE;128159746
10;Elite+;SU;921612379
10;Basic;DT;939917337
11;Elite+;KE;218776505
11;Elite+;FB;67411245
11;Elite+;SU;907725575
11;Basic;DT;595640733
12;Basic;KE;58547979
12;Elite;DT;560293421
12;Elite;FB;966797673
12;Elite;SU;288949592
13;Basic;KE;226802421
14;Elite;SU;280115567
15;Basic;DT;188619426
16;Elite;DT;421620417
17;Elite+;DT;35281046
18;Basic;DT;437327368
18;Basic;KE;985948315
18;Elite;SU;638306630
18;Basic;FB;351327051
19;Elite+;KE;859344625
19;Elite+;SU;619376868
20;Elite;DT;352930293
20;Elite+;FB;196139302
20;Basic;SU;457905318
21;Elite+;KE;918481069
23;Basic;KE;535431141
24;Elite+;KE;8073557
25;Elite;DT;893505553
25;Basic;SU;421296255
25;Elite;KE;526467478
25;Elite+;FB;852808171
26;Elite;FB;392259724
28;Elite+;FB;231390167
28;Elite+;KE;661624947
28;Elite;SU;587566652
30;Basic;KE;875636082
31;Elite+;KE;136504734
31;Elite;DT;524584519
33;Elite;SU;849362379
33;Elite;DT;966353637
33;Elite+;FB;550201079
33;Elite;KE;425846773
34;Elite;DT;666253841
35;Basic;KE;437738745
36;Elite+;KE;19252430
37;Elite+;SU;979571303
38;Elite+;FB;181099937
39;Elite;SU;562502840
40;Elite+;SU;428587126
41;Elite;SU;182717048
42;Basic;KE;685855186
43;Elite+;DT;755962360
46;Basic;SU;911309815
47;Elite;KE;414640353
48;Elite+;SU;52846911
48;Elite+;DT;819269742
49;Elite+;KE;457265464
50;Elite+;DT;806908997
50;Elite+;FB;677262967
50;Basic;SU;535275226
51;Basic;FB;953255132
53;Elite+;FB;440492050
54;Elite;KE;675625599
55;Elite+;KE;273989490
55;Basic;FB;964750962
56;Elite+;DT;630361929
56;Basic;FB;166027662
57;Elite+;KE;725368419
58;Basic;KE;445351177
59;Basic;SU;543977589
60;Elite;KE;863164705
61;Elite;SU;858915177
63;Elite+;KE;376173350
63;Elite;SU;135697541
64;Elite+;SU;812046465
64;Elite;DT;58046586
64;Basic;FB;639187883
65;Elite+;KE;708221288
65;Elite+;FB;682821124
66;Elite+;KE;352145512
66;Elite+;SU;811363753
66;Elite+;DT;173333313
66;Elite;FB;904486190
68;Basic;SU;449130761
68;Elite;FB;795635602
69;Elite;KE;646396736
71;Elite;FB;12762826
73;Basic;SU;197300760
75;Elite+;KE;890236936
76;Elite;SU;389603124
76;Elite;DT;139769683
77;Basic;SU;238272601
77;Basic;DT;926883211
77;Elite+;KE;6616445
78;Elite;SU;429630996
79;Elite;KE;290470816
79;Basic;DT;578325598
79;Elite;SU;693261281
79;Elite;FB;99133280
80;Elite;FB;653692654
82;Elite+;KE;571825467
84;Elite;KE;362723148
85;Elite+;DT;197061795
85;Elite;SU;450121678
86;Basic;SU;692170004
86;Elite;FB;852009344
86;Basic;KE;878685070
88;Basic;DT;23130085
89;Elite+;DT;872337405
89;Elite;FB;664592830
90;Elite;KE;967207622
91;Basic;SU;916224857
92;Elite+;FB;1577962
95;Elite;SU;761788138
96;Elite;KE;914098255
97;Elite;KE;349422431
98;Elite;KE;745336514
99;Elite;FB;12812175
100;Basic;DT;749507197
101;Basic;DT;649818457
102;Basic;KE;510136675
103;Elite;SU;143295415
103;Elite+;FB;389540496
104;Elite+;FB;309395202
105;Basic;KE;585721330
105;Basic;DT;246505097
106;Elite;KE;9253000
107;Basic;SU;35373033
108;Basic;SU;216038792
109;Elite+;FB;656277441
109;Elite+;KE;288123284
109;Elite;DT;344073607
109;Basic;SU;561105844
111;Elite+;SU;180562240
111;Elite+;KE;481801572
111;Basic;DT;635871477
112;Basic;FB;933905647
113;Basic;SU;349632891
114;Basic;KE;271291718
114;Elite+;FB;69275711
115;Elite+;KE;793933221
116;Elite+;SU;411154423
117;Elite+;KE;325624555
117;Basic;FB;802839717
118;Elite+;KE;62579760
119;Basic;SU;184315961
120;Basic;FB;550565924
120;Elite;DT;294020923
120;Elite+;KE;380315316
121;Basic;FB;709624109
123;Elite+;FB;626926469
124;Elite+;DT;114538641
125;Elite+;FB;327696563
126;Elite;DT;765917243
127;Elite;SU;736431677
128;Elite+;FB;975829274
128;Elite+;DT;14249775
129;Elite+;FB;800094711
129;Elite+;KE;9954398
130;Elite;KE;793612613
131;Elite;SU;387636238
131;Elite+;DT;73662440
133;Elite+;FB;569398818
136;Elite+;FB;318550385
136;Elite;DT;136918643
136;Elite;KE;599223310
136;Elite;SU;938333654
137;Basic;DT;773022022
138;Elite;FB;573014038
138;Elite;SU;448933097
138;Elite;KE;94312709
138;Elite+;DT;30371158
139;Basic;DT;989844108
139;Basic;FB;284752010
140;Elite;KE;491279243
