from_city;from_country;from_aeroport;to_city;to_country;to_aeroport;days;depTime;arrTime;flight;aircraft;travelTime
Aalborg;Denmark; AAL;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;06:00;07:25;KL1328;73W;1H25M
Aalborg;Denmark; AAL;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;21:00;22:20;KL1337;73W;1H20M
Graz;Austria; GRZ;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;21:00;22:20;KL1337;73W;1H20M
Aalborg;Denmark; AAL;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;21:00;22:20;KL1337;73W;1H20M
Amsterdam;Netherlands; AMS;Amsterdam;Netherlands; AMS;2018-11-02;2019-01-28;2;6;17:10;19:15;KL1326;E75
Aalesund;Norway; AES;Amsterdam;Netherlands; AMS;2018-11-02;2019-01-28;2;6;14:40;16:40;KL1325;E75
Bergen;Norway; BGO;Amsterdam;Netherlands; AMS;2018-11-02;2019-01-28;2;6;14:40;16:40;KL1325;E75
Aalesund;Norway; AES;Amsterdam;Netherlands; AMS;2018-11-02;2019-01-28;2;6;14:40;16:40;KL1325;E75
Prague;Czech Republic; PRG;Amsterdam;Netherlands; AMS;2018-11-02;2019-01-28;2;6;14:40;16:40;KL1325;E75
Aarhus;Denmark; AAR;Amsterdam;Netherlands; AMS;2018-11-02;2019-01-28;2;6;14:40;16:40;KL1325;E75
Moscow;Russian Federation; SVO;Amsterdam;Netherlands; AMS;2018-11-02;2019-01-30;124;4;67;09:55;10:55;SU1479
Abakan;Russian Federation; ABA;Amsterdam;Netherlands; AMS;2018-11-02;2019-01-30;124;4;67;00:05;08:45;SU1478
Calgary;Canada; YYC;Amsterdam;Netherlands; AMS;2018-11-02;2019-01-30;124;4;67;00:05;08:45;SU1478
Abbotsford;Canada; YXX;Amsterdam;Netherlands; AMS;2018-11-02;2019-01-30;124;4;67;00:05;08:45;SU1478
Edmonton;Canada; YEG;Amsterdam;Netherlands; AMS;2018-11-02;2019-01-30;124;4;67;00:05;08:45;SU1478
Abbotsford;Canada; YXX;Amsterdam;Netherlands; AMS;2018-11-02;2019-01-30;124;4;67;00:05;08:45;SU1478
Amsterdam;Netherlands; AMS;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;06:00;08:40;KL1440;73W;1H40M
Aberdeen;United Kingdom; ABZ;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;21:20;21:50;KL1451;73W;1H30M
Bergen;Norway; BGO;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;21:20;21:50;KL1451;73W;1H30M
Aberdeen;United Kingdom; ABZ;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;21:20;21:50;KL1451;73W;1H30M
Frankfurt;Germany; FRA;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;21:20;21:50;KL1451;73W;1H30M
Aberdeen;United Kingdom; ABZ;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;21:20;21:50;KL1451;73W;1H30M
London;United Kingdom; LCY;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;21:20;21:50;KL1451;73W;1H30M
Aberdeen;United Kingdom; ABZ;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;21:20;21:50;KL1451;73W;1H30M
London;United Kingdom; LHR;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;21:20;21:50;KL1451;73W;1H30M
Aberdeen;United Kingdom; ABZ;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;21:20;21:50;KL1451;73W;1H30M
Paris;France; CDG;Amsterdam;Netherlands; AMS;2018-01-08;2019-01-31;;06:05;09:10;KQ3747*;EQV;2H5M
Aberdeen;United Kingdom; ABZ;Amsterdam;Netherlands; AMS;2018-01-07;2019-01-31;;20:15;21:10;KQ3744*;EQV;1H55M
Minneapolis/StPaulMN;United; MSP;Amsterdam;Netherlands; AMS;2018-11-01;2018-11-02;;15:35;16:48;DL7381;CRJ;1H13M
AberdeenSD;United States of; ABR;Amsterdam;Netherlands; AMS;2018-01-05;2019-01-26;;22:30;23:58;DL7419;CRJ;1H28M
Cairo;Egypt; CAI;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;12:50;14:50;SV323;320;3H0M
Abha;Saudi Arabia; AHB;Amsterdam;Netherlands; AMS;2018-11-03;2019-01-31;;15:50;19:30;SV322;320;2H40M
Dammam;Saudi Arabia; DMM;Amsterdam;Netherlands; AMS;2018-11-02;2019-01-25;;01:35;03:45;SV1686;320;2H10M
Abha;Saudi Arabia; AHB;Amsterdam;Netherlands; AMS;2018-11-03;2019-01-26;;23:55;02:10+1;SV1687;320;2H15M
Jeddah;Saudi Arabia; JED;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;06:35;08:00;SV1945;320;1H25M
Abha;Saudi Arabia; AHB;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;22:55;00:15+1;SV1956;320;1H20M
Madinah;Saudi Arabia; MED;Amsterdam;Netherlands; AMS;2018-11-01;2018-11-01;;20:15;21:50;SV1667;320;1H35M
Abha;Saudi Arabia; AHB;Amsterdam;Netherlands; AMS;2018-11-03;2019-01-26;;23:10;00:45+1;SV1668;320;1H35M
Riyadh;Saudi Arabia; RUH;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;23:05;00:45+1;SV1678;320;1H40M
Abha;Saudi Arabia; AHB;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;;23:30;01:15+1;SV1946;320;1H45M
Sharurah;Saudi Arabia; SHW;Amsterdam;Netherlands; AMS;2018-11-02;2018-11-05;2;6;08:35;10:05;SV1886;320
Abha;Saudi Arabia; AHB;Amsterdam;Netherlands; AMS;2018-11-02;2019-01-28;2;6;11:05;12:45;SV1887;320
Tabuk;Saudi Arabia; TUU;Amsterdam;Netherlands; AMS;2018-11-01;2019-01-31;35;5;7;05:05;07:20;SV1531
